store_location,product_category,product_type,product_detail,total_qty_of_product_sold,total_revenue,day_of_transaction,day_number,month_of_transaction,month_number,transaction_quarter,time_of_transaction,days_classification,time_classification
Lower Manhattan,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,5.0,Sun,1,Jan,1,1,09:44:20,Weekend,Morning
Lower Manhattan,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3.0,Sun,1,Jan,1,1,09:44:46,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Espresso shot,2,6.0,Sun,1,Jan,1,1,09:46:46,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino,2,7.5,Sun,1,Jan,1,1,09:47:40,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Espresso shot,2,6.0,Sun,1,Jan,1,1,09:50:44,Weekend,Morning
Lower Manhattan,Bakery,Biscotti,Hazelnut Biscotti,1,3.25,Sun,1,Jan,1,1,09:50:44,Weekend,Morning
Lower Manhattan,Tea,Brewed Black tea,Earl Grey Rg,1,2.5,Sun,1,Jan,1,1,09:52:58,Weekend,Morning
Hell's Kitchen,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3.0,Sun,1,Jan,1,1,09:53:28,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino,2,7.5,Sun,1,Jan,1,1,09:53:44,Weekend,Morning
Hell's Kitchen,Bakery,Scone,Ginger Scone,1,3.25,Sun,1,Jan,1,1,09:53:44,Weekend,Morning
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,Sun,1,Jan,1,1,09:53:49,Weekend,Morning
Lower Manhattan,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,Sun,1,Jan,1,1,09:54:46,Weekend,Morning
Lower Manhattan,Tea,Brewed herbal tea,Lemon Grass Lg,2,6.0,Sun,1,Jan,1,1,09:55:16,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2.0,Sun,1,Jan,1,1,09:56:30,Weekend,Morning
Hell's Kitchen,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,6.0,Sun,1,Jan,1,1,10:00:39,Weekend,Morning
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,7.5,Sun,1,Jan,1,1,10:03:55,Weekend,Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Rg,1,3.0,Sun,1,Jan,1,1,10:14:49,Weekend,Morning
Lower Manhattan,Bakery,Pastry,Chocolate Croissant,1,3.75,Sun,1,Jan,1,1,10:14:49,Weekend,Morning
Lower Manhattan,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,6.0,Sun,1,Jan,1,1,10:16:30,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,Sun,1,Jan,1,1,10:16:33,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino Lg,2,8.5,Sun,1,Jan,1,1,10:18:14,Weekend,Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Sm,2,4.4,Sun,1,Jan,1,1,10:18:52,Weekend,Morning
Lower Manhattan,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2,5.0,Sun,1,Jan,1,1,10:19:42,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,Sun,1,Jan,1,1,10:24:19,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,5.1,Sun,1,Jan,1,1,10:25:22,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2,7.0,Sun,1,Jan,1,1,10:25:45,Weekend,Morning
Lower Manhattan,Bakery,Biscotti,Ginger Biscotti,1,3.5,Sun,1,Jan,1,1,10:25:45,Weekend,Morning
Hell's Kitchen,Tea,Brewed Green tea,Serenity Green Tea Lg,2,6.0,Sun,1,Jan,1,1,10:27:48,Weekend,Morning
Lower Manhattan,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,Sun,1,Jan,1,1,10:30:07,Weekend,Morning
Lower Manhattan,Bakery,Scone,Cranberry Scone,1,3.25,Sun,1,Jan,1,1,10:30:07,Weekend,Morning
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,Sun,1,Jan,1,1,10:35:47,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,Sun,1,Jan,1,1,10:41:53,Weekend,Morning
Lower Manhattan,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,7.5,Sun,1,Jan,1,1,10:47:53,Weekend,Morning
Hell's Kitchen,Tea,Brewed Black tea,Earl Grey Lg,2,6.0,Sun,1,Jan,1,1,10:49:13,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,2,9.5,Sun,1,Jan,1,1,10:49:51,Weekend,Morning
Lower Manhattan,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3.0,Sun,1,Jan,1,1,10:51:17,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2,5.0,Sun,1,Jan,1,1,10:52:44,Weekend,Morning
Hell's Kitchen,Bakery,Pastry,Almond Croissant,1,3.75,Sun,1,Jan,1,1,10:52:44,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,10:56:14,Weekend,Morning
Lower Manhattan,Bakery,Biscotti,Chocolate Chip Biscotti,1,3.5,Sun,1,Jan,1,1,10:56:14,Weekend,Morning
Astoria,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2.0,Sun,1,Jan,1,1,11:01:48,Weekend,Morning
Astoria,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,11:01:58,Weekend,Morning
Astoria,Bakery,Pastry,Croissant,1,3.5,Sun,1,Jan,1,1,11:01:58,Weekend,Morning
Lower Manhattan,Tea,Brewed Green tea,Serenity Green Tea Lg,2,6.0,Sun,1,Jan,1,1,11:03:25,Weekend,Morning
Lower Manhattan,Bakery,Pastry,Croissant,1,3.5,Sun,1,Jan,1,1,11:03:25,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Latte Rg,2,8.5,Sun,1,Jan,1,1,11:04:32,Weekend,Morning
Astoria,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,Sun,1,Jan,1,1,11:08:11,Weekend,Morning
Hell's Kitchen,Tea,Brewed Black tea,Earl Grey Lg,2,6.0,Sun,1,Jan,1,1,11:08:59,Weekend,Morning
Astoria,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,Sun,1,Jan,1,1,11:09:01,Weekend,Morning
Astoria,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3.0,Sun,1,Jan,1,1,11:10:21,Weekend,Morning
Astoria,Bakery,Scone,Jumbo Savory Scone,1,3.75,Sun,1,Jan,1,1,11:10:21,Weekend,Morning
Astoria,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,Sun,1,Jan,1,1,11:10:58,Weekend,Morning
Astoria,Tea,Brewed herbal tea,Lemon Grass Lg,1,3.0,Sun,1,Jan,1,1,11:12:29,Weekend,Morning
Astoria,Tea,Brewed herbal tea,Peppermint Lg,2,6.0,Sun,1,Jan,1,1,11:16:02,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,5.0,Sun,1,Jan,1,1,11:21:00,Weekend,Morning
Lower Manhattan,Tea,Brewed Black tea,Earl Grey Lg,2,6.0,Sun,1,Jan,1,1,11:21:04,Weekend,Morning
Astoria,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,Sun,1,Jan,1,1,11:21:14,Weekend,Morning
Hell's Kitchen,Coffee,Gourmet brewed coffee,Ethiopia Sm,1,2.2,Sun,1,Jan,1,1,11:23:01,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,7.5,Sun,1,Jan,1,1,11:23:43,Weekend,Morning
Lower Manhattan,Bakery,Scone,Oatmeal Scone,1,3.0,Sun,1,Jan,1,1,11:23:43,Weekend,Morning
Astoria,Tea,Brewed Black tea,English Breakfast Lg,2,6.0,Sun,1,Jan,1,1,11:25:35,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Cappuccino,2,7.5,Sun,1,Jan,1,1,11:25:37,Weekend,Morning
Hell's Kitchen,Tea,Brewed herbal tea,Peppermint Rg,2,5.0,Sun,1,Jan,1,1,11:28:15,Weekend,Morning
Astoria,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,7.0,Sun,1,Jan,1,1,11:28:29,Weekend,Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,5.1,Sun,1,Jan,1,1,11:29:25,Weekend,Morning
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,6.2,Sun,1,Jan,1,1,11:29:57,Weekend,Morning
Hell's Kitchen,Bakery,Scone,Scottish Cream Scone ,1,4.5,Sun,1,Jan,1,1,11:29:57,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,Sun,1,Jan,1,1,11:30:22,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3.0,Sun,1,Jan,1,1,11:31:35,Weekend,Morning
Lower Manhattan,Tea,Brewed Black tea,Earl Grey Lg,2,6.0,Sun,1,Jan,1,1,11:31:43,Weekend,Morning
Lower Manhattan,Bakery,Scone,Ginger Scone,1,3.25,Sun,1,Jan,1,1,11:31:43,Weekend,Morning
Lower Manhattan,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,5.0,Sun,1,Jan,1,1,11:31:53,Weekend,Morning
Lower Manhattan,Bakery,Pastry,Croissant,1,3.5,Sun,1,Jan,1,1,11:31:53,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,Sun,1,Jan,1,1,11:39:14,Weekend,Morning
Lower Manhattan,Bakery,Pastry,Chocolate Croissant,1,3.75,Sun,1,Jan,1,1,11:39:14,Weekend,Morning
Astoria,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2,5.0,Sun,1,Jan,1,1,11:40:26,Weekend,Morning
Astoria,Coffee,Organic brewed coffee,Brazilian Sm,2,4.4,Sun,1,Jan,1,1,11:43:57,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,11:44:09,Weekend,Morning
Astoria,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,1,3.0,Sun,1,Jan,1,1,11:47:13,Weekend,Morning
Hell's Kitchen,Tea,Brewed Black tea,Earl Grey Rg,2,5.0,Sun,1,Jan,1,1,11:48:56,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,Sun,1,Jan,1,1,11:49:42,Weekend,Morning
Hell's Kitchen,Bakery,Scone,Ginger Scone,1,3.25,Sun,1,Jan,1,1,11:49:42,Weekend,Morning
Astoria,Coffee,Organic brewed coffee,Brazilian Rg,2,6.0,Sun,1,Jan,1,1,11:50:16,Weekend,Morning
Astoria,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,7.5,Sun,1,Jan,1,1,11:50:23,Weekend,Morning
Lower Manhattan,Tea,Brewed herbal tea,Peppermint Lg,2,6.0,Sun,1,Jan,1,1,11:50:58,Weekend,Morning
Hell's Kitchen,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,7.0,Sun,1,Jan,1,1,11:51:30,Weekend,Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,Sun,1,Jan,1,1,11:52:31,Weekend,Morning
Astoria,Coffee,Barista Espresso,Espresso shot,2,6.0,Sun,1,Jan,1,1,11:57:17,Weekend,Morning
Astoria,Tea,Brewed Black tea,Earl Grey Rg,1,2.5,Sun,1,Jan,1,1,11:57:59,Weekend,Morning
Astoria,Bakery,Scone,Jumbo Savory Scone,1,3.75,Sun,1,Jan,1,1,11:57:59,Weekend,Morning
Astoria,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,7.5,Sun,1,Jan,1,1,11:58:15,Weekend,Morning
Lower Manhattan,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,1,2.5,Sun,1,Jan,1,1,12:00:20,Weekend,Midday / Lunch
Astoria,Tea,Brewed Black tea,English Breakfast Lg,2,6.0,Sun,1,Jan,1,1,12:01:00,Weekend,Midday / Lunch
Astoria,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,6.2,Sun,1,Jan,1,1,12:01:20,Weekend,Midday / Lunch
Astoria,Bakery,Pastry,Croissant,1,3.5,Sun,1,Jan,1,1,12:01:20,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,1,3.75,Sun,1,Jan,1,1,12:03:09,Weekend,Midday / Lunch
Hell's Kitchen,Tea,Brewed Green tea,Serenity Green Tea Lg,1,3.0,Sun,1,Jan,1,1,12:03:38,Weekend,Midday / Lunch
Astoria,Tea,Brewed herbal tea,Peppermint Rg,1,2.5,Sun,1,Jan,1,1,12:03:43,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Organic brewed coffee,Brazilian Lg,2,7.0,Sun,1,Jan,1,1,12:04:22,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2,5.0,Sun,1,Jan,1,1,12:05:31,Weekend,Midday / Lunch
Lower Manhattan,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,Sun,1,Jan,1,1,12:06:29,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3.0,Sun,1,Jan,1,1,12:07:42,Weekend,Midday / Lunch
Lower Manhattan,Tea,Brewed herbal tea,Lemon Grass Lg,1,3.0,Sun,1,Jan,1,1,12:08:21,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,1,3.1,Sun,1,Jan,1,1,12:08:36,Weekend,Midday / Lunch
Astoria,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,4.0,Sun,1,Jan,1,1,12:09:11,Weekend,Midday / Lunch
Hell's Kitchen,Tea,Brewed Black tea,Earl Grey Rg,2,5.0,Sun,1,Jan,1,1,12:09:12,Weekend,Midday / Lunch
Lower Manhattan,Coffee,Barista Espresso,Latte,2,7.5,Sun,1,Jan,1,1,12:13:07,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,2,6.2,Sun,1,Jan,1,1,12:14:26,Weekend,Midday / Lunch
Hell's Kitchen,Tea,Brewed Black tea,Earl Grey Rg,2,5.0,Sun,1,Jan,1,1,12:17:38,Weekend,Midday / Lunch
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Sm,2,4.4,Sun,1,Jan,1,1,12:18:07,Weekend,Midday / Lunch
Astoria,Tea,Brewed Black tea,English Breakfast Lg,2,6.0,Sun,1,Jan,1,1,12:18:44,Weekend,Midday / Lunch
Astoria,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,7.5,Sun,1,Jan,1,1,12:20:16,Weekend,Midday / Lunch
Astoria,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3.0,Sun,1,Jan,1,1,12:23:39,Weekend,Midday / Lunch
Lower Manhattan,Coffee,Barista Espresso,Cappuccino Lg,2,8.5,Sun,1,Jan,1,1,12:27:06,Weekend,Midday / Lunch
Astoria,Tea,Brewed herbal tea,Peppermint Rg,2,5.0,Sun,1,Jan,1,1,12:30:46,Weekend,Midday / Lunch
Hell's Kitchen,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,12:30:49,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2,5.0,Sun,1,Jan,1,1,12:33:20,Weekend,Midday / Lunch
Astoria,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2,5.0,Sun,1,Jan,1,1,12:33:35,Weekend,Midday / Lunch
Lower Manhattan,Coffee,Gourmet brewed coffee,Ethiopia Sm,2,4.4,Sun,1,Jan,1,1,12:35:53,Weekend,Midday / Lunch
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,Sun,1,Jan,1,1,12:36:57,Weekend,Midday / Lunch
Hell's Kitchen,Tea,Brewed Black tea,English Breakfast Lg,2,6.0,Sun,1,Jan,1,1,12:38:28,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3.0,Sun,1,Jan,1,1,12:42:26,Weekend,Midday / Lunch
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,1,3.75,Sun,1,Jan,1,1,12:44:01,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3.0,Sun,1,Jan,1,1,12:44:31,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Traditional Blend Chai Rg,1,2.5,Sun,1,Jan,1,1,12:44:32,Weekend,Midday / Lunch
Astoria,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,4.0,Sun,1,Jan,1,1,12:45:52,Weekend,Midday / Lunch
Astoria,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,Sun,1,Jan,1,1,12:46:22,Weekend,Midday / Lunch
Astoria,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,Sun,1,Jan,1,1,12:46:26,Weekend,Midday / Lunch
Astoria,Coffee,Gourmet brewed coffee,Ethiopia Lg,1,3.5,Sun,1,Jan,1,1,12:46:55,Weekend,Midday / Lunch
Astoria,Bakery,Pastry,Croissant,1,3.5,Sun,1,Jan,1,1,12:46:55,Weekend,Midday / Lunch
Astoria,Coffee,Barista Espresso,Latte,2,7.5,Sun,1,Jan,1,1,12:48:08,Weekend,Midday / Lunch
